Nome comum;Nome científico;Autor;Nome em inglês;Estado de Conservação;Tamanho;Alimentação;Coluna47;Informações gerais;Significado do nome;Tamanho2;Subespécies;Alimentação2;Reprodução;Referências;Coluna1;Predadores;Coluna2;Coluna3;Coluna4;Coluna5;Coluna6;Coluna7;Coluna8;Coluna9;Coluna10;Coluna11;Coluna12;Coluna13;Coluna14;Coluna15;Coluna16;Coluna17;Coluna18;Coluna19;Coluna20;Coluna21;Coluna22;Coluna23;Coluna24;Coluna25;Coluna26;Coluna27;Coluna28;Coluna29;Coluna30;Coluna31;Coluna32;Coluna33;Coluna34;Coluna35;Coluna36;Coluna37;Coluna38;Coluna39;Coluna40;Coluna41;Coluna42;Coluna43;Coluna44;Coluna45;Coluna46;Coluna48;Coluna49;Coluna50;Coluna51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Marreca-caneleira;Dendrocygna bicolor;(Vieillot, 1816);Fulvous Whistling-Duck;Pouco Preocupante;Mede cerca de 48 centimetros. Como o próprio nome diz, cor que mais se destaca é o marrom acanelado. As asas possuem estrias escuras. Os bicos e as pernas tem coloração cinza azulada.;Alimenta-se de gramíneas que pasta nas margens dos lagos ou até mesmo sob a água quando estas estão submersas. Também come plantas aquáticas, insetos aquáticos, pequenos peixes, girinos e crustáceos.;;A marreca-caneleira é uma ave anseriforme da família Anatidae. Também conhecida como marreca picaça, marreca-peba, tapuia e xenxém.;"Seu nome científico significa: do (grego) dendros = árvore; e cygna, cygnus = referente ao cisne; e do (latim) bi = dois; e color = cor; bicolor= de duas cores. ⇒ Cisne de duas cores que pousa em árvores.";;Não possui subespécies.;;Podem construir seus ninhos tanto em ocos de árvores quanto sobre a vegetação paludícola. A fêmea bota de 8 a 14 ovos que são chocados pelo casal durante aproximadamente um mês. Os filhotes começam a voar a partir de 55 dias de vida.;;Quanto ao seu hábitat tem uma certa predileção por banhados e regiões alagadas abertas, não entrando em florestas mais densas nem rios correntosos. Tambem podem ser encontradas em lavouras de arroz inundadas.;É em muitos locais a espécie de marreca mais abundante, especialmente em banhados como os do Rio Grande do Sul, onde sua caça é permitida contanto que se respeitem as cotas e os períodos estabelecidos na legislação local.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Irerê;Dendrocygna viduata;(Linnaeus, 1766);White-faced Whistling-Duck;Pouco Preocupante;;;;O irerê é uma ave anseriforme da família Anatidae. Também conhecido por paturi, marrecão ou cabeça-branca (Rio Grande do Sul), siriri, marreca-viúva, chega-e-vira, marreca-piadeira e na região de Pombal, Paraíba, é conhecida como marreca-viuvinha.;;"Seu nome científico significa: do (grego) dendros = árvore; e cygna, cygnus = referente ao cisne; e do (latim) viduata, viduare, viduus = viúva, em luto, enlutada. ⇒ Cisne de luto que pousa nas árvores.";A máscara branca na face contrastando com o pescoço negro e o bico chumbo torna esta espécie inconfundível. As penas frontais do início do pescoço são brancas, fazendo transição abrupta para um castanho-avermelhado que segue até o início do peito. Os flancos do corpo são finamente estriados em branco e preto. As coberteiras secundárias das asas também apresentam coloração castanho-avermelhado. As penas do dorso apresentam coloração marrom com bordas bege. A parte traseira do pescoço e a região que vai do peito até o crisso, incluindo o rabo, possui coloração preta. Quando em voo é possível ver as asas escuras. Os pés são de coloração cinza escuro. As aves jovens não possuem a máscara branca, que só será plena ao atingirem a fase adulta. Outra característica das aves jovens é a ausência do ventre preto e possuírem tonalização desbotada no restante do corpo.;Não possui subespécies.;Assim como outros marrecos, alimenta-se basicamente de plantas submersas e gramíneas nas margens dos lagos, mas também come invertebrados aquáticos, pequenos peixes e girinos. No Rio grande do Sul tem grande afinidade por áreas de cultivo de arroz irrigado, onde se alimenta dos grãos deste cereal que ficam caídos na resteva.;O ninho é construído no chão. A fêmea bota de 8 a 14 ovos, sendo que o macho pode ajudar a chocar. Ambos cuidam dos filhotes.;É encontrado em quase qualquer corpo d'água ao longo de sua ampla distribuição, que vai da Argentina até a América Central, e curiosamente também ocorre na África Ocidental. Pode ser encontrado até mesmo em lagos poluídos. É mais ativo nos crepúsculos e à noite. Não é raro ouvir o piado desta ave à noite sobrevoando até mesmo grandes cidades em bandos. Chega a formar bandos de várias dezenas de indivíduos, principalmente durante as migrações sazonais que realiza no sul do país.;gavião-pato (Spizaetus melanoleucus);gavião-do-banhado (Circus buffoni);Presente em todo o Brasil. Fora do Brasil também ocorre na África, em Madagascar e nas Ilhas Comores.;Provavelmente nosso pato mais bem conhecido, seja pela sua beleza, pelo fato de se aproximar muito das áreas urbanas e pelo seu canto típico. É a sua vocalização que lhe empresta o nome irerê ou paturi, muito agudo e alto, lembrando o barulho de alguns apitos ou o som de brinquedos de borracha.;SANTIAGO, R. G. Irerê ou Paturi (Dendrocygna viduata) Guia Interativo de Aves Urbanas, 06 dec. 2006. Disponível em: <http://www.ib.unicamp.br/lte/giau/visualizarMaterial.php?idMaterial=371>. Acesso em: 06 mai. 2009.;"CLEMENTS, J. F.; The Clements Checklist of Birds of the World. Cornell: Cornell University Press, 2005.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Marreca-cabocla;Dendrocygna autumnalis;(Linnaeus, 1758);Black-bellied Whistling-Duck;Pouco Preocupante;Mede entre 43 e 53 centímetros de comprimento e pesa entre 652 e 1021 gramas.;Alimenta-se de pequenas sementes e folhas, gosta de arroz, apanha vermes, larvas de insetos e pequenos crustáceos.;;A marreca-cabocla é uma ave anseriforme da família Anatidae. Também conhecida como marreca-asa-branca, asa-branca ou marajoara. No interior do Ceará, mais notadamente na região norte/noroeste do estado é também conhecida como marreca-verdadeira.;;"Seu nome científico significa: do (grego) dendros = árvore; e cygna, cygnus = referente ao cisne; e do (latim) autumnalis, autumnus, autumni = outono. ⇒ Cisne que pousa nas árvores no outono.";;Sua face é cinzenta, a barriga é preta e tem grande mancha branca na asa, visível apenas quando a ave voa. Tem bico e pés vermelhos. Quando jovem, é pardo acinzentado, inclusive bico e pés. O dimorfismo sexual quanto ao colorido é pouco pronunciado.;Vocalização: possui um assobio de quatro a cinco sílabas: “tjüi-tjüi-tji-tji-tji”, repetido pelos membros do bando.;Possui duas subespécies reconhecidas, sendo que uma nova análise da literatura indica que a ssp. autumnalis deve ser aplicada à população do sul, com população do norte sendo a ssp. fulgens:;Dendrocygna autumnalis autumnalis (Linnaeus, 1758) - ocorre do Panamá até o norte da Argentina (principalmente a leste da Cordilheira dos Andes), no Paraguai e no Brasil.;Dendrocygna autumnalis fulgens (Friedmann, 1947) - ocorre do sul dos Estados Unidos da América no extremo sul dos estados do Texas e Arizona até o Panamá. Esta subespécie difere da subespécie nominal basicamente por apresentar uma menor área cinza entre o ventre preto e o colar castanho do pescoço, além de outras diferenças menores.;;Costuma nidificar em ocos de pau, penachos de palmeia ou no solo. Às vezes acontece de mais de uma fêmea botar em um mesmo ninho.;Costuma pastar em capim baixo alagado e, às vezes, em manguezais. Empoleira-se regularmente para descansar. Trata-se de uma ave sociável que pode ocorrer em grandes concentrações, chegando aos milhares de indivíduos em certas épocas do ano. Observa-se enormes bandos voando ou aquecendo-se ao sol à beira de uma represa. Esses bandos defendem-se mergulhando, sobretudo, quando a água está crispada pelo vento, nessas ocasiões, ocorrem rêmiges sonoras que aumentam o sibilo produzido pelas batidas de asas.;Ocorre do Texas à Bolívia, Brasil (em todos os Estados) e Argentina.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pato-do-mato;Cairina moschata;(Linnaeus, 1758);Muscovy Duck;Pouco Preocupante;O macho é quase o dobro do tamanho das fêmeas e jovens. Quando passam voando juntos, é possível distinguir os sexos no ar. Apresentam um comprimento de aproximadamente 85 centímetros, uma envergadura de 120 centímetros, um peso no macho de 2,2 quilos, sendo que a fêmea pesa aproximadamente a metade.;Alimentam-se de raízes, sementes e folhas de plantas aquáticas, apanhadas flutuando ou através de filtragem da lama do fundo. Nadam com a cabeça e pescoço afundados, enquanto buscam alimentação. Também apanham pequenos invertebrados nessas filtragens.;;O pato-do-mato é uma ave anseriforme da família Anatidae.;;Foi domesticado pelos grupos indígenas da América do Sul por sua carne. É o ingrediente fundamental do prato paraense, o pato no tucupi, também de origem indígena.;"Seu nome científico significa: de Cairina = do Cairo, originário desta cidade, capital do Egito; e de moschatus, musky = almiscarado, almíscar. Sobre Cairina temos ⇒ “Aldrovando dice que le conduxéron á Italia del Cayro; pero tengo por mas cierto que fué de aquí.” (de Azara, 1802-1805). ⇒ (Pato) almiscarado do Cairo.";;Ao contrário dos exemplares domésticos, as aves selvagens têm o corpo todo negro, com uma área branca nas asas. Esse branco, nem sempre visível quando pousado, torna-se nítido ao voar e é bastante extenso, aumentando com a idade. Em indivíduos juvenis apresenta-se como uma pequena mancha branca.;Além do tamanho, os machos possuem outra característica exclusiva: a pele nua vermelha ao redor dos olhos, bem como uma carúncula da mesma cor acima da base do bico. Não emitem chamados em voo ou pousados, somente um sibilo agressivo nas disputas entre machos, produzido pelo ar expulso com força pela boca entreaberta. A batida de asas é relativamente lenta e produz um sibilar notável, quando passam próximo.;Espécie monotípica (não são reconhecidas subespécies).;;Os ninhos são feitos em ocos de árvores, às vezes palmeiras mortas cujo interior está oco. Muitos são ninhos a 5 ou 6 metros de profundidade em relação à boca, localizados próximo à água ou na margem das matas próximas. O filhote sai do ninho logo depois do nascimento, sendo chamado pela pata, do lado de fora. A ninhada segue-a, caminhando para a água mais próxima. O período reprodutivo vai de outubro a março.;Seus voos são matinais ou vespertinos, entre os pontos de pouso e locais de alimentação. Dormem empoleirados nas piúvas e outras árvores altas, tanto isoladas em capões, como nas matas ribeirinhas. Para alcançar os galhos horizontais de dormida, necessitam de um acesso livre de vegetação. Possuem unhas afiadas nas patas, usadas para empoleirarem-se ou como arma, nas disputas territoriais e por fêmeas. Vivem em grupos pequenos, de até uma dúzia. Pousam sobre árvores desfolhadas para observar os arredores, descansar ou mesmo dormir.;Sucuri:;Presentes em todo o Brasil, mas em menor número no leste e sul do País, em consequência da caça indiscriminada. Na América, são encontrados desde o México até a Argentina.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pato-de-crista;Sarkidiornis sylvicola;Ihering & Ihering, 1907;Comb Duck;Pouco Preocupante;O macho chega a medir 76 centímetros de comprimento e pesar 2 quilos.;Alimenta-se de pequenas sementes, principalmente de plantas aquáticas, folhas, vermes, larvas de inseto e outros bichinhos.;;O pato-de-crista é um anseriforme da família Anatidae. Também conhecido como pato-cachamorro, pato-do-mato e putrião.;;"Seu nome significa: do (grego) sarx = carne; sarkidion = pequeno pedaço de carne; e ornis = pássaro; e do (latim) silva = madeira; e cola, colare = morador, habitar; sylvicola = aquele que habita as árvores. ⇒ Pássaro com pedaço de carne no bico que habita as árvores.";;É uma ave extremamente arisca e desconfiada, não permitindo a aproximação do observador. Costuma pousar em árvores na beira d'água e na época da muda das penas das asas, quando não pode voar, esconde-se na vegetação dos açudes e pântanos. Seus bandos voam em fila indiana, alcançando boa velocidade.;Espécie monotípica (não são reconhecidas subespécies).;(Clements checklist, 2014).;;Na época da reprodução a crista do putrião aumenta e sua plumagem fica mais colorida. A fêmea, que é menor e não tem a carúncula sobre o bico, faz o ninho em cavidades de árvores. Põe até 20 ovos, que choca por aproximadamente 1 mês. Os filhotes logo que nascem abandonam o ninho e seguem a mãe Filhotes de pato-de-crista.;Vive sempre perto de açudes, rios, lagoas e pântanos. Costuma pousar em árvores na beira d'água e na época da muda das penas das asas, quando não pode voar, esconde-se na vegetação dos açudes, lagoas e pântanos. Seus bandos voam em fila indiana, alcançando boa velocidade.;Ocorre em todo o Brasil e da América Central à Argentina.;"CLEMENTS, J. F., T. S. Schulenberg, M. J. Iliff, D. Roberson, T. A. Fredericks, B. L. Sullivan, and C. L.. The Clements checklist of Birds of the World: Version 6.9; Cornell: Cornell University Press, 2014.";Marigo, Luiz Claudio. Álbum Surpresa: Sertões. NESTLÉ: n. 16.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pé-vermelho;Amazonetta brasiliensis;(Gmelin, 1789);Brazilian Teal;Pouco Preocupante;;Alimenta-se em banhados ou em pequenas lagoas, seu hábito alimentar filtrador permite que se alimente de plantas aquáticas, crustáceos e mariscos, além de insetos, minhocas e grãos. No Rio grande do Sul é comum vê-las se alimentando em áreas de resteva de arroz irrigado.;;Além de pé-vermelho, também pode ser chamado de picassinha ou marreca-picaça (Rio Grande do Sul), marreca-ananai, ananaí, asa-de-seda, paturi, pato de asa branca (sertão de Pernambuco e Bahia) ou até do seu primeiro nome amazonetta, que vem do seu nome científico Amazonetta brasiliensis. Vive em banhados onde retira seu alimento e cria seus filhotes e próximo a eles faz os seus ninhos.;;"Seu nome científico significa: de Amazon = referente ao rio Amazonas; e do (grego) nëtta = pato; e de brasiliensis = referente ao Brasil, brasileiro. ⇒ Pato brasileiro do rio Amazonas.";Marreco de pequeno porte, que vive em lagoas e banhados, e até em pequenas coleções d' água, como córregos e poças formadas pela chuva. Seu dimorfismo sexual é caracterizado por:;O macho: Possui o bico vermelho, maior quantidade de verde nas asas e coloração lateral da cabeça que vai de marrom na base do bico até um cinza claro próximo a parte posterior da cabeça.;A fêmea: possui o bico preto e manchas brancas na base do bico e acima dos olhos.;Outra característica que diferencia os sexos, porém pouco marcante, é a mancha preta que o macho possui na parte posterior da cabeça (nuca). Como é delimitada gradualmente, e não tem contornos contrastados e bem definidos, passa despercebida, mas observando-se com atenção, nota-se que somente está presente no macho, sendo que na fêmea essa região é marrom.;"Outra distinção entre os sexos é a vocalização, ou seja, o som emitido por cada um: o macho emite um som agudo, muito similar a um assobio (sibilo); a fêmea, por sua vez, emite um grasnado não muito grave.";Possui duas subespécies:;;;;;;Reproduz-se geralmente do fim do verão ao começo do inverno e faz seu ninho em touceiras perto dos banhados onde deposita seus ovos. Tem de seis até nove filhotes (já foram vistas ninhadas com 10 ou 11 filhotes), que ficam com o casal até atingirem a capacidade de voar.;Na época da postura, a fêmea desenvolve uma protuberância relativamente grande na região posterior do abdome, bem próxima da cloaca, ficando “barrigudinha”, pelo que se sabe claramente que está em fase de postura. Apesar de esse fato ser comum em diversas espécies de anatídeos, nessa espécie tal característica se torna mais evidente por ela possuir a parte traseira do abdome bastante esguia e delgada.;Passa grande tempo dentro da água e nas margens procurando alimento, voando apenas quando estão em perigo. É de hábito diurno, mas costuma passear também a noite. É ave que vive pacificamente muito bem com outros anseriformes como a marreca irerê. É comumente vista em casais, mas também forma bandos quando jovens ou quando compartilham locais importantes de alimentação, formando bandos muitas vezes de casais.;carcará (Caracara plancus);Ocorre em todo Brasil.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Marreca-pardinha;Anas flavirostris;Vieillot, 1816;Yellow-billed Teal;Pouco Preocupante;Esta ave mede entre 35 e 45 centímetros de comprimento e pesa entre 388 e 830 gramas de peso.;Alimenta-se remexendo a água de sementes, raízes e vegetação aquática, e pode pastar em terra firme (Helmut Sick).;;A marreca-pardinha é uma ave anseriforme da família Anatidae. Também conhecida pelos nomes de assobiadeira, assoviadeira, danadinha, marreca-assobiadeira, marreca-assoviadeira, marreca-pintada e parda-pequena.;;"Seu nome científico significa: do (latim) anas = pato; e do (latim) flavus = amarelo; e rostris = bico; flavirostris = bico amarelo. ⇒ Pato de bico amarelo.";;Possui o corpo pintalgado de marrom. A cabeça e o pescoço são marrons com muitas linhas finas transversais pretas. A testa, a base do bico e as bochechas são mais escuras e o vértice é anegrado. A íris é escura e o olho é pequeno e marcado por uma tênue faixa transocular preta. O bico é amarelo com uma fina linha preta no cúlmen. A extremidade distal do bico também é preta. As penas coberteiras são escuras. As rêmiges primárias são enegrecidas com uma fina borda de coloração canela. As asas apresentam espelho alar negro com três faixas distintas. Uma das faixas é escura com reflexo verde metálico e é posicionada entre as outras duas faixas, uma acastanhada e o outra branca. O uropígio é acinzentado. A cauda marrom-acinzentada é curta e pontuda. O peito é castanho claro com manchas mais escuras. Essas manchas escuras vão diminuindo em direção à região ventral da ave, que se torna esbranquiçada na parte inferior do ventre e crisso. Os flancos são acinzentados, e não apresentam manchas.;A subespécie oxyptera que não ocorre no Brasil apresenta a cabeça mais pálida e tons mais cinzentos no peito que é menos marcado e apresenta manchas mais arredondadas e espaçadas que na subespécie nominal.;Existem 2 subespécies reconhecidas:;;;;;A ninhada tem de 5 a 10 ovos, 2 ninhadas por temporada. O ninho pode ser uma simples depressão no solo, escondido na vegetação, em fendas ou árvores, relativamente longe da água. A marreca-pardinha tem um curioso costume. Faz seu ninho sobre o ninho das caturritas, nas pontas mais altas dos pés de eucaliptos, formando interessante contraste: o ninho das caturritas é muito grande e o da pardinha, muito pequeno.;Forma bandinhos, que nadam ou descansam em lagos grandes de águas abertas, estuários de rios e em lagoas interioranas.;É uma espécie de marreca da região meridional da América do Sul. Entre a primavera e o verão, chegam ao Rio Grande do Sul e a Santa Catarina, e no inverno, alcançam o Paraná, o sudeste de São Paulo e o Rio de Janeiro.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anas flavirostris;Vieillot, 1816;Yellow-billed Teal;Pouco Preocupante;;Esta ave mede entre 35 e 45 centímetros de comprimento e pesa entre 388 e 830 gramas de peso.;Alimenta-se remexendo a água de sementes, raízes e vegetação aquática, e pode pastar em terra firme (Helmut Sick).;;"Seu nome científico significa: do (latim) anas = pato; e do (latim) flavus = amarelo; e rostris = bico; flavirostris = bico amarelo. ⇒ Pato de bico amarelo.";A marreca-pardinha é uma ave anseriforme da família Anatidae. Também conhecida pelos nomes de assobiadeira, assoviadeira, danadinha, marreca-assobiadeira, marreca-assoviadeira, marreca-pintada e parda-pequena.;;Possui o corpo pintalgado de marrom. A cabeça e o pescoço são marrons com muitas linhas finas transversais pretas. A testa, a base do bico e as bochechas são mais escuras e o vértice é anegrado. A íris é escura e o olho é pequeno e marcado por uma tênue faixa transocular preta. O bico é amarelo com uma fina linha preta no cúlmen. A extremidade distal do bico também é preta. As penas coberteiras são escuras. As rêmiges primárias são enegrecidas com uma fina borda de coloração canela. As asas apresentam espelho alar negro com três faixas distintas. Uma das faixas é escura com reflexo verde metálico e é posicionada entre as outras duas faixas, uma acastanhada e o outra branca. O uropígio é acinzentado. A cauda marrom-acinzentada é curta e pontuda. O peito é castanho claro com manchas mais escuras. Essas manchas escuras vão diminuindo em direção à região ventral da ave, que se torna esbranquiçada na parte inferior do ventre e crisso. Os flancos são acinzentados, e não apresentam manchas.;A subespécie oxyptera que não ocorre no Brasil apresenta a cabeça mais pálida e tons mais cinzentos no peito que é menos marcado e apresenta manchas mais arredondadas e espaçadas que na subespécie nominal.;Existem 2 subespécies reconhecidas:;Anas flavirostris flavirostris (Vieillot, 1816): espécie nominal descrita nesta página. Presente do norte da Argentina até a Terra do Fogo, nas ilhas Malvinas e Geórgias do Sul, no Uruguai e no sul e sudeste do Brasil (Carboneras & Kirwan, 2016). No Brasil ocorre desde o estado do Rio Grande do Sul até o estado de São Paulo.;"Anas flavirostris oxyptera (Meyen, 1834): Pouco maior (43 cm), bico mais longo e dorso mais pálido; escapulares mais avermelhadas com manchas pretas menores; manchas pretas do peito menos marcadas; flancos e ventre de cor branca ou cinza pálido. Habita regiões andinas e costeiras do Pacífico, desde o centro do Peru até o Norte da Argentina e Chile. Candidata à separação da espécie, processo incipiente.";(Clements checklist, 2014).;;marreca-pardinha se alimentando;A ninhada tem de 5 a 10 ovos, 2 ninhadas por temporada. O ninho pode ser uma simples depressão no solo, escondido na vegetação, em fendas ou árvores, relativamente longe da água. A marreca-pardinha tem um curioso costume. Faz seu ninho sobre o ninho das caturritas, nas pontas mais altas dos pés de eucaliptos, formando interessante contraste: o ninho das caturritas é muito grande e o da pardinha, muito pequeno.;Forma bandinhos, que nadam ou descansam em lagos grandes de águas abertas, estuários de rios e em lagoas interioranas.;É uma espécie de marreca da região meridional da América do Sul. Entre a primavera e o verão, chegam ao Rio Grande do Sul e a Santa Catarina, e no inverno, alcançam o Paraná, o sudeste de São Paulo e o Rio de Janeiro.;  Ocorrências registradas no WikiAves;Wikipédia - disponível em http://pt.wikipedia.org/wiki/Marreca-pardinha Acesso em 07 Out. 2009;SIGRIST, T. Avifauna Brasileira: The avis brasilis field guide to the birds of Brazil, 1ª edição, São Paulo: Editora Avis Brasilis, 2009.;Carboneras, C. & Kirwan, G.M. (2016). Yellow-billed Teal (Anas flavirostris). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona.;Disponível em: http://www.riogrande.com.br/ecologia/taim3.htm Acesso em 29 dez. 2009.;Aves de Chile - http://www.avesdechile.cl/ → Orden Taxonómica → Anatinae → Anas Flavirostris;Avibase - http://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=E47A1FDDB1598A76;"CLEMENTS, J. F.; The Clements Checklist of Birds of the World. Cornell: Cornell University Press, 2014.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Marreca-toicinho;Anas bahamensis;Linnaeus, 1758;White-cheeked Pintail;Pouco Preocupante;;Alimenta-se de pequenas sementes e folhas, apanha vermes, larvas de insetos e pequenos crustáceos, tem predileção por larvas de cracas (crustáceo Balanus). Possui grande tendência vegetariana.;;A marreca-toicinho é uma ave anseriforme da família Anatidae.;;É uma espécie de marreca belíssima, conhecida também por queixo-branco e paturi-do-mato.;"Seu nome científico significa: do (latim) anas = pato; e bahamensis = referente às ilhas Bahamas, originário das Bahamas. ⇒ Pato das Bahamas.";Facilmente reconhecível pelos lados da cabeça brancos, assim como a garganta, pela cor canela da cauda pontiaguda e da borda posterior da asa (tanto no macho como na fêmea) e pelo bico azul e base vermelha. Fêmea semelhante ao macho, sendo mais franzina e com a mancha vermelha do bico e o branco das bochechas menos berrantes.;Possui três subespécies:;;;;;;;;;Habita os manguezais, campos de arroz irrigados, pequenos lagos e lagoas salinas ou salobras.;Ocorre das Antilhas ao Chile e Argentina, no Brasil ocorre em boa parte do Nordeste, Sudeste e Sul, onde a maioria dos registros tem ocorrido. Poucos registros para o Centro-Oeste.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jacupemba;Penelope superciliaris;Temminck, 1815;Rusty-margined Guan;Pouco Preocupante;;;;O jacupemba é uma ave galliforme da família Cracidae. Conhecido também como jacupeba, jacupema, jacu-velho, jacucaca (Rio de Janeiro), pava-chica, yacupoí.;;Jacu, em tupi, significa “o que come grãos”.;"Seu nome científico significa: do (latim) pene = quase; e do (grego) lophos = crista; e do (latim) superciliare, superciliaris = sobrancelha. ⇒ Ave escura com crista parcial e sobrancelha.";Mede cerca de 55 centímetros de comprimento e pesa 850 gramas. Barbela nua e vermelha, mais proeminente no macho, topete rudimentar, plumagem das asas com bordas ferrugíneas, desenho esbranquiçado no peito e íris vermelha. Sobrancelha cinza claro ou pardacento claro.;Possui seis subespécies reconhecidas:;"Penelope superciliaris superciliaris (Temminck, 1815) - ocorre na Amazônia brasileira;";"Penelope superciliaris jacupemba (Spix, 1825) - ocorre na região central e sul do Brasil, deste o Maranhão até o Paraná e até o leste da Bolívia;";"Penelope superciliaris major (W. Bertoni, 1901) - ocorre no leste do Paraguai, nordeste da Argentina na província de Misiones e no sul do Brasil nos estados de Santa Catarina e Rio Grande do Sul;";"Penelope superciliaris alagoensis (Nardelli, 1993) ocorre no nordeste do Brasil, na região costeira do leste de Alagoas e Pernambuco;";"Penelope superciliaris pseudonyma (Neumann, 1933) - ocorre no interflúvio Madeira-Tapajós, na Amazônia central brasileira;";Penelope superciliaris ochromita (Neumann, 1933) - ocorre no Maranhão (leste), Piauí, Ceará, Tocantins e Bahia (oeste).;Aves Brasil CBRO - 2021 (Piacentini et al. 2021).;Fotos das subespécies de Penelope superciliaris;(ssp. superciliaris);Penelope superciliaris superciliaris;"Impressionante, alta, áspera: “heoo, gogo, hahaha; toe(x)gló-toe(x)gló” profundo, gutural.";Alimenta-se de frutos, flores, folhas e brotos, permanecendo na copa das árvores, indo ao chão apenas para apanhar frutos caídos.;Faz ninho em cipoais, no alto de árvores, em ramos ou galhos sobre a água. Eventualmente pode fazer ninho em rochas no interior da floresta. Põe ovos brancos e lisos, levando 28 dias para o nascimento dos filhotes.;Vive em pequenos grupos familiares de 3 a 5 indivíduos.;Habita a copa e o estrato médio nas bordas de florestas densas, capoeiras, caatingas e beiras de rios e lagos.;Grande parte do Brasil, desde a região Amazônica (somente ao sul do rio Amazonas, do Maranhão para o oeste até o rio Madeira) até o Rio Grande do Sul. Encontrado também no Paraguai.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
